Faculdade;Carimbo de data/hora;Turmas;Disciplina;Q11;Q12;Q13;Q14;Q15;Q26;Q27;Q28;Q29;Q210;Q211;Q212;Q213;Q314;Q315;Q316;Q41;Q42;Q43;Q44;Q51;Q52;Q53;Q54;Q55;Q56;Q57;Q58
FECOMP;11/03/2021 13:34;2017;ELETRONICA DIGITAL;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;4
FEM;12/02/2021 10:41;2018;ELETROTECNICA;4;4;4;4;4;4;4;3;4;2;4;4;4;4;4;4;4;4;4;3;4;4;3;4;4;4;4;3
FEM;17/02/2021 10:30;2018;ELETROTECNICA;4;4;4;4;3;4;4;3;4;4;3;4;4;4;4;4;4;3;3;4;2;2;2;4;3;4;4;4
FEM;03/02/2021 20:32;2017;ENGENHARIA AMBIENTAL;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;3;4;4;4;4;4
FEM;03/02/2021 21:31;2017;ENGENHARIA AMBIENTAL;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;2;3;4;4;4;3;2;1;3;3;3;2;3
FEM;03/02/2021 22:15;2017;ENGENHARIA AMBIENTAL;4;4;4;4;4;4;4;4;4;3;4;4;4;3;2;1;3;4;4;4;4;4;3;4;4;3;4;3
FEM;04/02/2021 10:36;2017;ENGENHARIA AMBIENTAL;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;4;4;4;4;4
FEM;04/02/2021 17:43;2017;ENGENHARIA AMBIENTAL;2;2;3;4;3;4;4;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3
FEM;07/02/2021 21:48;2017;ENGENHARIA AMBIENTAL;3;2;3;4;4;3;2;3;3;2;3;3;3;2;3;2;3;3;3;3;3;3;2;3;3;3;3;3
FAESA;10/03/2021 16:42;2020;ESTATISTICA;3;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;3;4;4;2;3;4;4;3;4;3
FAESA;10/03/2021 21:36;2020;ESTATISTICA;4;4;4;4;4;4;4;4;4;2;4;4;2;4;4;2;4;4;4;4;3;3;1;3;4;3;3;2
FAESA;12/03/2021 07:23;2020;ESTATISTICA;4;4;4;4;4;4;4;3;3;4;4;3;3;3;3;3;3;2;3;4;3;4;2;3;3;4;4;2
FEM;04/02/2021 20:44;2020;ESTATISTICA APLICADA;4;4;3;4;4;4;4;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;4;4;4;4;4;4
FEM;04/02/2021 20:46;2020;ESTATISTICA APLICADA;4;3;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;4;3;3;2;3;3;3;4;4;3
FEM;04/02/2021 22:07;2020;ESTATISTICA APLICADA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEM;04/02/2021 23:04;2020;ESTATISTICA APLICADA;3;4;4;4;4;3;3;3;3;2;4;3;4;4;4;4;3;3;3;3;2;3;2;2;1;1;4;3
FEM;05/02/2021 22:34;2020;ESTATISTICA APLICADA;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4
FEM;04/02/2021 18:51;2020;ESTRUTURA E PROPRIEDADE DOS MATERIAIS (EPM);4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;3;3;4;4;4;4;4;4
FEM;04/02/2021 20:30;2020;ESTRUTURA E PROPRIEDADE DOS MATERIAIS (EPM);4;3;4;4;4;4;4;4;4;3;3;3;3;3;4;3;3;3;4;3;3;3;3;3;3;4;4;4
FEM;04/02/2021 22:04;2020;ESTRUTURA E PROPRIEDADE DOS MATERIAIS (EPM);4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEM;05/02/2021 22:23;2020;ESTRUTURA E PROPRIEDADE DOS MATERIAIS (EPM);4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4
FEM;10/02/2021 13:29;2020;ESTRUTURA E PROPRIEDADE DOS MATERIAIS (EPM);4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;3;3
FEC;13/01/2021 16:28;2017;ESTRUTURAS DE CONCRETO I;3;2;2;3;4;4;2;3;3;2;3;3;2;3;3;1;2;2;3;2;3;2;2;4;3;3;4;3
FEC;28/01/2021 15:08;2017;ESTRUTURAS DE CONCRETO I;1;1;1;3;4;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;4;3;3;4;3;3;4;1
FEC;31/01/2021 13:39;2017;ESTRUTURAS DE CONCRETO I;1;1;1;2;4;1;1;2;2;1;1;1;1;2;1;1;1;3;3;2;4;3;3;3;4;3;4;3
FEC;31/01/2021 14:00;2017;ESTRUTURAS DE CONCRETO: PATOLOGIAS E REABILITACAO;4;3;4;4;4;4;4;4;4;3;3;4;3;3;3;3;4;4;4;2;3;3;3;4;4;3;4;3
FECOMP;05/03/2021 13:18;2019;ESTRUTURAS DE DADOS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4
FECOMP;05/03/2021 14:09;2019;ESTRUTURAS DE DADOS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;05/03/2021 19:51;2019;ESTRUTURAS DE DADOS;4;4;4;4;4;4;4;2;3;3;1;3;2;3;2;2;1;2;1;3;2;3;3;1;2;3;1;1
FECOMP;08/03/2021 18:38;2019;ESTRUTURAS DE DADOS;3;3;3;3;3;1;2;1;1;1;1;2;1;2;1;1;1;2;4;1;2;3;1;3;3;3;2;1
FECOMP;09/03/2021 21:37;2019;ESTRUTURAS DE DADOS;4;4;4;3;3;2;3;3;3;2;2;3;2;3;3;3;1;3;3;3;3;3;3;1;2;2;1;1
FEC;31/01/2021 13:41;2017;ESTRUTURAS DE MADEIRA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4
FAESA;10/03/2021 23:22;2019;FISICA FUNDAMENTAL I;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;3;4;4;3;3;2;2;3;3;3;3
FAESA;11/03/2021 19:00;2019;FISICA FUNDAMENTAL I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;3;4;2;3;1;1;1;1;1;1
FAESA;14/03/2021 01:00;2019;FISICA FUNDAMENTAL I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4
FAESA;11/03/2021 10:12;2018;FISICA FUNDAMENTAL III;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;2;3;2;3;2;1;2;3;3;3;2;1
FAESA;14/03/2021 12:08;2018;FISICA FUNDAMENTAL III;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4
FECOMP;05/03/2021 13:14;2019;FISICA I;2;3;2;4;4;3;3;2;3;2;2;3;3;3;3;3;2;2;3;2;2;2;3;2;3;4;4;2
FECOMP;05/03/2021 13:22;2016;FISICA I;4;4;2;3;4;4;4;2;2;2;4;2;2;2;2;2;1;2;2;1;4;4;2;3;3;2;3;3
FECOMP;05/03/2021 13:22;2020;FISICA I;4;4;4;4;4;4;4;3;3;3;4;2;3;2;2;2;3;3;3;3;3;3;4;4;3;4;4;3
FECOMP;05/03/2021 14:13;2019;FISICA I;4;4;1;4;4;1;1;4;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;05/03/2021 23:44;2020;FISICA I;3;4;4;4;4;4;4;2;3;4;3;4;3;3;2;2;3;4;4;4;2;4;3;4;4;4;4;2
FECOMP;09/03/2021 17:33;2020;FISICA I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;10/03/2021 09:44;2020;FISICA I;2;4;1;3;3;3;4;1;1;1;1;1;1;4;3;3;1;3;3;3;3;3;2;3;3;4;3;1
FECOMP;11/03/2021 13:40;2017;FISICA I;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4
FEM;03/02/2021 20:49;2019;FISICA I;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;1;4;3;4;4;4
FEM;08/02/2021 11:50;2020;FISICA I;4;4;3;4;4;3;4;4;3;2;3;3;3;2;2;4;3;3;3;2;3;2;4;4;3;3;4;4
FECOMP;05/03/2021 12:41;2017;FISICA II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;05/03/2021 13:22;2019;FISICA II;3;3;4;3;4;4;4;4;3;3;4;4;4;4;3;4;3;3;4;4;2;3;3;2;3;3;4;2
FECOMP;05/03/2021 14:06;2019;FISICA II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;05/03/2021 19:12;2018;FISICA II;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;3;2;3;4;3;4;4
FECOMP;05/03/2021 19:57;2019;FISICA II;3;4;2;3;4;2;3;2;2;3;3;2;2;3;3;3;2;3;3;3;2;3;2;2;2;3;3;1
FECOMP;05/03/2021 22:21;2018;FISICA II;3;3;3;4;4;4;3;3;4;4;4;4;4;4;4;4;3;3;3;1;1;4;3;2;4;3;3;4
FECOMP;08/03/2021 18:44;2019;FISICA II;4;4;4;4;4;4;4;4;2;2;4;3;2;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4
FECOMP;09/03/2021 21:40;2019;FISICA II;1;3;3;3;3;4;3;3;2;1;2;2;2;3;3;4;1;2;3;2;3;3;1;1;2;2;2;1
FECOMP;11/03/2021 13:37;2017;FISICA II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEM;03/02/2021 20:34;2019;FISICA II;4;3;2;4;4;4;3;2;4;4;4;4;4;4;4;4;3;4;4;2;3;3;3;4;4;4;4;3
FEM;03/02/2021 23:20;2019;FISICA II;4;4;3;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEM;05/03/2021 17:37;2019;FISICA II;4;4;2;3;3;3;3;2;3;2;3;3;2;2;3;3;3;3;3;3;2;2;3;2;2;2;2;2
FEC  (Goianesia do Para);14/01/2021 17:14;2019;FISICA TEORICA APLICADA I;2;4;4;4;4;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC;14/01/2021 17:32;2019;FISICA TEORICA APLICADA I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4
FEC  (Goianesia do Para);25/01/2021 14:42;2019;FISICA TEORICA APLICADA I;1;1;2;4;3;1;1;2;2;1;3;3;1;3;2;1;1;3;2;1;3;3;4;3;3;4;4;1
FEC;17/12/2020 19:21;2019;FISICA TEORICA APLICADA II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;1;1;3;3;4;4;4
FEC;17/12/2020 19:32;2019;FISICA TEORICA APLICADA II;2;3;4;3;4;1;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;3;3;3;4;3
FEC;17/12/2020 20:09;2019;FISICA TEORICA APLICADA II;2;2;1;3;3;2;3;1;2;1;2;1;1;3;1;1;2;3;2;2;4;4;3;4;4;4;4;3
FEC;21/12/2020 13:48;2019;FISICA TEORICA APLICADA II;1;1;2;3;3;3;2;3;3;2;3;2;3;2;3;3;3;3;3;3;2;2;1;3;3;3;3;3
FEC;22/12/2020 23:30;2019;FISICA TEORICA APLICADA II;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;3;4;4;4;4;3;3;2;4;3;4;4;4
FEC  (Goianesia do Para);08/02/2021 11:17;2019;FISICA TEORICA APLICADA II;2;3;4;4;4;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2
FAESA;11/03/2021 10:21;2018;FUNDAMENTOS E T. DO DESENVOLVIMENTO SUSTENTAVEL;4;3;3;4;4;4;3;4;4;4;4;4;3;3;3;3;3;3;4;4;2;3;2;3;3;4;3;3
FEC;17/12/2020 19:22;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;4;2;1;1;3;3;4;4;4
FEC;17/12/2020 19:36;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;1;3;4;3;4;4
FEC;17/12/2020 20:15;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;2;4;4;4;4;4;4;3;4;4;4;4;4
FEC;19/12/2020 08:27;2018;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;4;2;1;3;3;3;3;4;4
FEC;21/12/2020 13:46;2019;GEOLOGIA DE ENGENHARIA;3;3;3;3;3;3;3;1;1;2;2;2;2;2;2;2;1;2;2;3;2;2;1;3;3;3;3;1
FEC;22/12/2020 23:21;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;3;4;3;4;3;4
FEC  (Goianesia do Para);13/01/2021 15:25;2019;GEOLOGIA DE ENGENHARIA;3;4;4;4;4;4;3;4;4;4;4;4;3;4;3;3;4;4;4;2;2;3;3;3;3;3;3;3
FEC  (Goianesia do Para);13/01/2021 15:30;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC  (Goianesia do Para);13/01/2021 16:07;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3
FEC  (Goianesia do Para);13/01/2021 16:31;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;3;3;4;4;4;4;4;4
FEC  (Goianesia do Para);13/01/2021 19:28;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC;14/01/2021 17:28;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4
FEC;25/01/2021 10:27;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC  (Goianesia do Para);25/01/2021 14:37;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;4;4;2;4;4;4
FEC  (Goianesia do Para);25/01/2021 15:12;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC  (Goianesia do Para);28/01/2021 09:40;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;3;3;3;4;3;3;3;4;3;4;4;3;3;3;2;3;4;4;4;2
FEC  (Goianesia do Para);08/02/2021 11:19;2019;GEOLOGIA DE ENGENHARIA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC;17/12/2020 19:28;2018;GEOTECNIA AMBIENTAL;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4
FEC;17/12/2020 19:31;2018;GEOTECNIA AMBIENTAL;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;3;4;4
FEC;18/12/2020 08:39;2018;GEOTECNIA AMBIENTAL;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;3;4;4;4;4;4;2;4;4;3;4;4;4
FEC;18/12/2020 10:20;2018;GEOTECNIA AMBIENTAL;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;4;4
FEC;18/12/2020 11:56;2018;GEOTECNIA AMBIENTAL;4;4;3;4;4;3;4;3;4;3;1;4;4;3;4;4;4;4;4;4;3;2;3;3;3;4;3;4
FEC;13/01/2021 16:14;2018;GEOTECNIA AMBIENTAL;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4
FEM;05/02/2021 15:46;2016;GERENCIA DE MANUTENCAO;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEM;03/02/2021 20:30;2017;HIDRAULICA E PNEUMATICA;3;4;3;4;4;2;3;3;3;2;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;2;3;1
FEM;04/02/2021 10:26;2017;HIDRAULICA E PNEUMATICA;3;3;2;2;2;1;1;2;2;2;3;2;1;2;1;1;1;2;2;2;1;2;1;1;2;1;3;2
FEM;12/02/2021 10:59;2018;HIDRAULICA E PNEUMATICA;4;4;4;4;4;4;4;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;3
FEM;15/02/2021 11:41;2017;HIDRAULICA E PNEUMATICA;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;4;4;4;4;3;4;2;3;3;3;4;4
FAESA;11/03/2021 10:19;2018;HIDRAULICA GERAL I;4;4;3;4;4;3;3;3;4;3;4;4;3;3;4;3;3;3;4;3;2;2;2;4;4;4;3;3
FAESA;11/03/2021 21:13;2017;HIDROBIOLOGIA E LIMNOLOGIA;4;4;3;3;4;4;3;3;3;3;4;3;3;3;3;3;4;4;4;4;3;3;3;4;4;4;4;4
FAESA;13/03/2021 17:04;2017;HIDROBIOLOGIA E LIMNOLOGIA;4;4;3;3;4;1;4;2;3;2;2;3;2;3;3;4;3;3;4;4;4;2;1;3;4;4;3;3
FAESA;13/03/2021 17:32;2017;HIDROBIOLOGIA E LIMNOLOGIA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;1;4;4;4;4;4
FAESA;13/03/2021 18:23;2017;HIDROBIOLOGIA E LIMNOLOGIA;4;4;1;2;3;1;2;2;1;1;1;2;1;2;1;2;3;2;3;3;3;2;2;4;4;4;4;3
FAESA;13/03/2021 18:52;2017;HIDROBIOLOGIA E LIMNOLOGIA;1;4;2;3;3;4;4;2;2;2;1;1;1;1;2;1;2;1;1;4;4;2;3;4;3;4;4;4
FAESA;13/03/2021 18:56;2017;HIDROBIOLOGIA E LIMNOLOGIA;2;2;1;2;2;1;1;1;1;1;2;2;1;2;1;2;1;2;2;2;3;3;3;3;3;3;3;2
FAESA;13/03/2021 20:18;2017;HIDROBIOLOGIA E LIMNOLOGIA;3;3;1;1;3;2;3;1;1;1;2;2;1;1;1;1;2;2;3;3;3;4;2;3;3;4;4;2
FAESA;13/03/2021 21:57;2017;HIDROBIOLOGIA E LIMNOLOGIA;4;4;4;4;4;4;4;4;4;3;3;4;2;4;4;4;4;4;4;4;4;2;1;3;4;4;4;3
FEC;13/01/2021 15:22;2017;IMPACTOS AMBIENTAIS DE OBRAS CIVIS I;3;4;4;4;4;4;3;4;4;4;3;4;4;4;3;1;4;4;4;3;4;3;3;2;4;3;4;3
FEC;13/01/2021 16:25;2017;IMPACTOS AMBIENTAIS DE OBRAS CIVIS I;4;4;3;4;4;4;4;4;3;3;2;4;4;4;3;3;4;4;4;4;4;4;3;3;4;2;4;4
FEC;31/01/2021 13:46;2017;IMPACTOS AMBIENTAIS DE OBRAS CIVIS I;3;4;3;4;4;4;4;4;4;4;4;3;3;3;3;1;4;4;4;4;3;3;3;3;4;4;4;3
FAESA;11/03/2021 18:58;2019;INFORMATICA APLICADA A ENGENHARIA;2;1;2;3;3;2;2;2;3;2;4;3;3;2;2;3;3;3;3;3;4;4;3;4;4;4;4;3
FAESA;11/03/2021 19:14;2019;INFORMATICA APLICADA A ENGENHARIA;4;4;4;4;4;4;4;3;4;4;4;4;4;3;3;4;3;4;3;4;4;3;2;4;3;4;4;4
FAESA;11/03/2021 20:13;2019;INFORMATICA APLICADA A ENGENHARIA;2;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;2;3;2;4;4;4;2;4;4;3
FAESA;12/03/2021 11:38;2019;INFORMATICA APLICADA A ENGENHARIA;1;2;2;4;4;3;2;4;4;3;4;3;3;4;4;3;4;4;3;2;2;2;1;4;2;4;3;4
FAESA;14/03/2021 01:05;2019;INFORMATICA APLICADA A ENGENHARIA;1;1;4;4;3;2;1;4;4;4;3;3;3;3;3;2;3;3;3;2;3;3;4;4;4;4;4;4
FECOMP;05/03/2021 12:10;2016;INFORMATICA E SOCIEDADE;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;4
FECOMP;10/03/2021 12:11;2016;INFORMATICA E SOCIEDADE;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;11/03/2021 14:43;2016;INFORMATICA E SOCIEDADE;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEM;12/02/2021 09:38;2018;INSTRUMENTACAO INDUSTRIAL;4;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;3;2;3;4;3;3;3;3;3;3;4;3
FEM;12/02/2021 10:57;2018;INSTRUMENTACAO INDUSTRIAL;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4
FEM;17/02/2021 10:23;2018;INSTRUMENTACAO INDUSTRIAL;4;4;2;3;3;4;4;3;3;3;4;3;3;4;4;3;3;3;4;4;3;2;2;3;3;4;4;4
FEC;17/12/2020 19:19;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;1;1;3;3;4;4;4
FEC;17/12/2020 19:37;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;4;4;4;4;4
FEC;17/12/2020 20:13;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4
FEC;21/12/2020 13:39;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;2;2;3;3;2;2;1;2;3;3;4;2
FEC;22/12/2020 23:26;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;4;4;4;3;4
FEC  (Goianesia do Para);13/01/2021 15:20;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;3;2
FEC  (Goianesia do Para);13/01/2021 15:27;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;3;4;3;3;3;4;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
FEC  (Goianesia do Para);13/01/2021 15:29;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4
FEC  (Goianesia do Para);13/01/2021 16:34;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC  (Goianesia do Para);13/01/2021 16:34;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC  (Goianesia do Para);13/01/2021 16:50;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4
FEC  (Goianesia do Para);13/01/2021 18:19;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC  (Goianesia do Para);13/01/2021 19:25;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC;14/01/2021 17:33;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC;25/01/2021 10:28;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;3;3;4;4;4;4;3;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
FEC  (Goianesia do Para);25/01/2021 14:36;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;4;4;3
FEC  (Goianesia do Para);28/01/2021 09:02;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;3;3;3;3;3;4;4
FEC  (Goianesia do Para);28/01/2021 09:30;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;3;4;3;4;4;3;4;4;4;4;4;3;3;3;4;3;3;3;3;3;2;3;3;4;4;3
FEC  (Goianesia do Para);08/02/2021 11:27;2019;INTRODUCAO A CIENCIA E ENGENHARIA DOS MATERIAIS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEC;18/12/2020 15:49;2020;INTRODUCAO A ENGENHARIA CIVIL;3;4;3;4;3;4;3;3;3;1;3;3;3;3;3;3;3;4;4;4;3;2;3;3;3;3;3;3
FEC;04/01/2021 13:38;2020;INTRODUCAO A ENGENHARIA CIVIL;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;3;3;3;4;2;1;1;2;3;4;4;4
FEC;05/01/2021 12:35;2020;INTRODUCAO A ENGENHARIA CIVIL;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;3;4;4
FEC;09/01/2021 22:27;2020;INTRODUCAO A ENGENHARIA CIVIL;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;3;4;3;4;4;3;4;4;3
FEC;10/01/2021 23:32;2020;INTRODUCAO A ENGENHARIA CIVIL;4;4;3;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;2;2;3;4;4;4;4;4
