Faculdade;Carimbo de data/hora;Turmas;Disciplina;Q11;Q12;Q13;Q14;Q15;Q26;Q27;Q28;Q29;Q210;Q211;Q212;Q213;Q314;Q315;Q316;Q41;Q42;Q43;Q44;Q51;Q52;Q53;Q54;Q55;Q56;Q57;Q58
FECOMP;05/03/2021 12:40;2017;ATIVIDADES CURRICULARES DE EXTENSAO III;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;05/03/2021 15:07;2017;ATIVIDADES CURRICULARES DE EXTENSAO III;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4
FECOMP;06/03/2021 11:41;2017;ATIVIDADES CURRICULARES DE EXTENSAO III;4;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3
FECOMP;06/03/2021 14:23;2017;ATIVIDADES CURRICULARES DE EXTENSAO III;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4
FECOMP;05/03/2021 13:41;2016;AUTOMACAO INDUSTRIAL E CONTROLE DE PROCESSOS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;05/03/2021 13:50;2017;AUTOMACAO INDUSTRIAL E CONTROLE DE PROCESSOS;3;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4
FECOMP;05/03/2021 14:36;2017;AUTOMACAO INDUSTRIAL E CONTROLE DE PROCESSOS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;3;4;4
FECOMP;05/03/2021 15:09;2017;AUTOMACAO INDUSTRIAL E CONTROLE DE PROCESSOS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4
FECOMP;06/03/2021 11:44;2017;AUTOMACAO INDUSTRIAL E CONTROLE DE PROCESSOS;3;3;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
FECOMP;06/03/2021 14:57;2017;AUTOMACAO INDUSTRIAL E CONTROLE DE PROCESSOS;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;05/03/2021 12:38;2017;BANCO DE DADOS I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;1;2;1
FECOMP;05/03/2021 13:49;2017;BANCO DE DADOS I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4
FECOMP;05/03/2021 14:22;2017;BANCO DE DADOS I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;4;4;4;4;4;1;1;4;4;1;3
FECOMP;05/03/2021 15:12;2017;BANCO DE DADOS I;4;4;4;4;4;4;4;4;4;3;4;4;3;3;3;3;3;4;4;4;4;3;3;4;4;4;3;3
FECOMP;06/03/2021 11:46;2017;BANCO DE DADOS I;4;4;4;4;4;4;4;4;3;3;4;3;3;3;4;3;4;4;3;3;4;3;3;3;3;3;3;4
FECOMP;06/03/2021 14:53;2017;BANCO DE DADOS I;4;4;3;3;4;4;4;3;2;3;4;3;1;2;2;2;1;4;4;4;4;3;4;4;4;4;3;1
FAESA;10/03/2021 21:30;2020;BIOLOGIA SANITARIA AMBIENTAL;4;4;2;4;4;4;4;2;2;1;2;2;1;3;3;1;1;2;2;2;2;2;1;3;3;3;3;3
FAESA;11/03/2021 07:35;2020;BIOLOGIA SANITARIA AMBIENTAL;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;4;4;4;4;4
FAESA;11/03/2021 19:02;2019;BIOLOGIA SANITARIA AMBIENTAL;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;2;3;3;3;3;3;3;3
FAESA;12/03/2021 07:13;2020;BIOLOGIA SANITARIA AMBIENTAL;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;3;4;4;4;3;3;3;4;4;4
FAESA;13/03/2021 16:54;2020;BIOLOGIA SANITARIA AMBIENTAL;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;3;4;4;3;2;3;3;3;3;3;4
FAESA;14/03/2021 01:03;2019;BIOLOGIA SANITARIA AMBIENTAL;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4
FAESA;10/03/2021 21:33;2020;CALCULO I;1;3;2;4;1;4;2;1;3;2;1;2;2;3;3;1;1;1;1;1;1;2;1;2;1;1;1;1
FAESA;11/03/2021 07:33;2020;CALCULO I;4;4;3;3;3;4;3;2;3;3;3;3;3;3;3;3;3;3;3;3;4;2;3;3;4;4;4;4
FAESA;12/03/2021 07:18;2020;CALCULO I;4;4;3;4;3;4;3;3;3;3;4;3;4;3;3;3;3;4;3;4;4;4;3;3;4;4;4;3
FECOMP;05/03/2021 12:09;2020;CALCULO I;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;05/03/2021 12:16;2020;CALCULO I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;4;4;3
FECOMP;05/03/2021 13:14;2020;CALCULO I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;2;4;3;3;4;4;4
FECOMP;05/03/2021 17:00;2020;CALCULO I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;2;3;4;1;2
FECOMP;05/03/2021 21:29;2020;CALCULO I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3
FECOMP;05/03/2021 23:27;2020;CALCULO I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4
FECOMP;09/03/2021 17:29;2020;CALCULO I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4
FECOMP;10/03/2021 09:29;2020;CALCULO I;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4
FEM;04/02/2021 18:49;2020;CALCULO I;3;4;3;3;3;3;3;3;2;3;2;2;2;3;3;3;3;3;3;3;3;3;4;4;4;2;3;3
FEM;04/02/2021 18:57;2020;CALCULO I;3;4;3;3;2;3;3;1;2;3;2;3;2;3;3;4;3;3;3;3;4;3;3;3;3;4;4;3
FEM;04/02/2021 20:17;2020;CALCULO I;3;3;4;4;2;3;3;2;2;2;2;3;2;2;3;3;2;2;2;2;2;2;3;2;3;4;3;2
FEM;04/02/2021 22:00;2020;CALCULO I;3;4;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;1;2;2;3;3;4
FEM;04/02/2021 22:03;2020;CALCULO I;4;4;4;4;3;4;4;4;4;3;4;3;3;4;4;3;4;4;4;3;4;3;3;4;4;4;4;4
FEM;04/02/2021 22:41;2020;CALCULO I;4;4;3;4;3;4;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;2;3;3;3;4;4;3
FEM;05/02/2021 19:37;2020;CALCULO I;2;4;4;3;2;1;2;1;1;4;4;4;3;2;2;2;3;2;3;2;4;4;3;4;1;4;4;3
FEM;08/02/2021 10:45;2020;CALCULO I;2;4;4;4;2;4;4;2;4;4;4;4;4;4;4;4;2;4;4;4;2;2;4;2;4;4;2;4
FAESA;10/03/2021 23:23;2019;CALCULO II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;3;2;2;2;3;3;3
FAESA;11/03/2021 18:54;2019;CALCULO II;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;3;4;4;3;4;2;3;1;2;1;1;1;1
FAESA;11/03/2021 18:59;2020;CALCULO II;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;3;4;3;3;4;2;2;2;2;3;3;2;3
FAESA;11/03/2021 19:36;2019;CALCULO II;4;4;3;4;4;4;4;3;3;2;3;3;2;2;3;3;1;2;2;3;2;1;1;2;1;2;2;1
FAESA;11/03/2021 20:09;2019;CALCULO II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4
FAESA;11/03/2021 20:58;2019;CALCULO II;4;4;4;4;4;4;4;4;4;3;4;4;1;3;3;2;2;2;4;4;1;2;1;1;1;3;2;1
FAESA;11/03/2021 21:43;2019;CALCULO II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;2;2;2;1;2;2;1;3
FAESA;11/03/2021 21:46;2019;CALCULO II;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;3;4;3;3;2;3;3;3;3;4
FAESA;11/03/2021 22:19;2019;CALCULO II;4;4;3;4;4;4;4;4;4;2;4;4;4;4;3;2;4;4;3;4;3;2;2;4;3;3;3;4
FAESA;12/03/2021 11:43;2019;CALCULO II;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;3;4;4;4;2;2;1;3;3;4;3;2
FAESA;14/03/2021 01:01;2020;CALCULO II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4
FEC  (Goianesia do Para);13/01/2021 18:21;2019;CALCULO II;3;4;3;3;3;3;3;3;3;3;3;3;3;2;2;3;1;1;3;1;1;1;1;3;3;3;2;1
FEC  (Goianesia do Para);13/01/2021 19:22;2019;CALCULO II;2;4;2;4;2;4;3;1;1;2;2;2;1;2;1;1;2;1;1;1;4;4;4;4;4;4;4;2
FEC  (Goianesia do Para);14/01/2021 17:09;2019;CALCULO II;3;3;4;4;4;4;4;4;4;3;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4
FEC  (Goianesia do Para);14/01/2021 17:09;2019;CALCULO II;3;3;4;4;4;4;4;4;4;3;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4
FEC;14/01/2021 17:20;2019;CALCULO II;4;4;4;4;4;4;4;4;4;1;4;1;4;1;2;4;3;2;4;4;4;2;4;4;4;4;4;4
FEC  (Goianesia do Para);25/01/2021 14:34;2019;CALCULO II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4
FEC  (Goianesia do Para);28/01/2021 08:57;2019;CALCULO II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;4;4;4;4;4
FEC  (Goianesia do Para);28/01/2021 09:25;2019;CALCULO II;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;3;3;3;2;2;3;3;2;3;3;4;4;3
FEC  (Goianesia do Para);08/02/2021 11:22;2019;CALCULO II;2;4;2;4;4;4;4;3;4;2;2;4;4;4;4;4;4;4;4;4;1;3;4;2;3;4;4;1
FECOMP;05/03/2021 13:19;2019;CALCULO II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4
FECOMP;05/03/2021 14:01;2019;CALCULO II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;05/03/2021 19:48;2019;CALCULO II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4
FECOMP;08/03/2021 18:32;2019;CALCULO II;4;4;3;4;4;4;4;4;4;4;3;4;4;3;3;4;4;4;3;4;4;3;2;4;4;4;4;4
FECOMP;09/03/2021 21:33;2019;CALCULO II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FECOMP;11/03/2021 16:02;2019;CALCULO II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;2;3;3;4;4;3
FEC;17/12/2020 19:34;2019;CALCULO III;4;4;1;4;4;4;3;1;3;1;4;1;2;3;3;2;1;4;3;1;3;3;1;3;4;3;4;4
FEC;17/12/2020 20:02;2019;CALCULO III;2;1;1;1;1;3;2;1;3;1;1;1;1;1;1;1;1;1;4;1;4;4;2;4;4;1;2;1
FEC;21/12/2020 13:43;2019;CALCULO III;3;3;3;3;3;3;3;1;1;1;2;1;1;2;1;1;1;2;2;1;2;2;1;2;3;4;4;1
FEC  (Goianesia do Para);13/01/2021 15:26;2019;CALCULO III;3;3;4;3;4;4;4;4;4;3;3;3;4;4;4;3;3;4;4;3;3;4;4;4;4;4;4;3
FEC  (Goianesia do Para);13/01/2021 15:31;2019;CALCULO III;4;4;3;4;3;3;3;2;3;2;3;3;2;2;2;2;1;3;3;1;2;1;1;3;3;3;3;3
FEC  (Goianesia do Para);13/01/2021 16:49;2019;CALCULO III;4;4;4;4;3;4;4;2;3;3;4;3;3;3;4;2;2;2;2;2;2;1;2;4;3;3;4;1
FEC;25/01/2021 10:30;2019;CALCULO III;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
FEM;05/02/2021 15:45;2016;CLIMATIZACAO;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FEM;13/02/2021 07:40;2016;CLIMATIZACAO;3;3;3;4;2;4;3;2;2;2;4;2;3;1;1;1;3;4;3;2;3;3;4;4;3;3;3;2
FECOMP;08/03/2021 17:39;2016;COMPUTACAO GRAFICA E PROCESSAMENTO DE IMAGENS;4;4;4;3;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;2;3;4;3;3;3;1;4;1
FECOMP;11/03/2021 14:42;2016;COMPUTACAO GRAFICA E PROCESSAMENTO DE IMAGENS;3;3;3;3;2;4;3;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
FEM;12/02/2021 09:02;2020;CONFORMACAO PLASTICA;3;3;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
FEM;12/02/2021 09:06;2018;CONFORMACAO PLASTICA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3
FEM;12/02/2021 10:51;2018;CONFORMACAO PLASTICA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4
FEM;17/02/2021 10:26;2018;CONFORMACAO PLASTICA;4;4;3;4;4;4;4;3;4;4;3;3;3;3;4;4;4;3;4;4;3;2;2;4;3;4;4;4
FEM;18/02/2021 16:14;2018;CONFORMACAO PLASTICA;3;4;3;4;4;4;3;4;3;4;3;3;4;3;3;4;4;4;4;3;4;3;2;3;3;3;4;3
FEM;18/02/2021 16:15;2018;CONFORMACAO PLASTICA;3;4;3;4;4;4;3;4;3;4;3;3;4;3;3;4;4;4;4;3;4;3;2;3;3;3;4;3
FAESA;11/03/2021 08:00;2016;DRENAGEM URBANA;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;2;4;4;4;4;4;4;3;3;3;4;4;3
FAESA;11/03/2021 08:52;2016;DRENAGEM URBANA;3;3;4;4;4;4;3;4;3;3;4;3;3;3;2;2;3;3;3;3;3;2;3;4;3;4;4;4
FAESA;11/03/2021 10:01;2016;DRENAGEM URBANA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;3;4;4
FAESA;11/03/2021 19:25;2016;DRENAGEM URBANA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;2;3;4;4;4;4;3;3;3;4;4
FAESA;12/03/2021 09:54;2016;DRENAGEM URBANA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;3;4;3;4;3
FAESA;12/03/2021 10:21;2016;DRENAGEM URBANA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;3;4;4;4
FAESA;13/03/2021 22:24;2016;DRENAGEM URBANA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4
FECOMP;05/03/2021 12:08;2016;EDUCACAO AMBIENTAL;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4
FECOMP;10/03/2021 12:09;2016;EDUCACAO AMBIENTAL;3;3;3;3;2;4;3;3;3;3;3;3;3;3;3;3;2;3;3;4;3;3;2;3;3;3;4;2
FECOMP;11/03/2021 14:40;2016;EDUCACAO AMBIENTAL;3;4;4;4;4;4;4;4;3;3;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4
FAESA;11/03/2021 21:10;2017;EDUCACAO AMBIENTAL PARTICIPATIVA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4
FAESA;12/03/2021 13:14;2015;EDUCACAO AMBIENTAL PARTICIPATIVA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FAESA;13/03/2021 16:51;2017;EDUCACAO AMBIENTAL PARTICIPATIVA;4;4;4;4;4;4;2;4;4;2;4;4;4;4;4;3;3;4;4;3;4;2;1;1;4;3;4;4
FAESA;13/03/2021 17:12;2017;EDUCACAO AMBIENTAL PARTICIPATIVA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FAESA;13/03/2021 17:31;2017;EDUCACAO AMBIENTAL PARTICIPATIVA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4
FAESA;13/03/2021 18:53;2017;EDUCACAO AMBIENTAL PARTICIPATIVA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;3;3;4;4
FAESA;13/03/2021 19:00;2017;EDUCACAO AMBIENTAL PARTICIPATIVA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
FAESA;13/03/2021 20:13;2017;EDUCACAO AMBIENTAL PARTICIPATIVA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;4
FAESA;13/03/2021 21:53;2017;EDUCACAO AMBIENTAL PARTICIPATIVA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;2;4;4;4;4;4
FEM;03/02/2021 20:34;2017;ELEMENTOS DE MAQUINAS II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4
FEM;03/02/2021 20:53;2017;ELEMENTOS DE MAQUINAS II;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;3;3;3;4;4;4;4;4
FEM;03/02/2021 21:36;2017;ELEMENTOS DE MAQUINAS II;4;4;3;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;2;1;3;4;4;4;4
FEM;03/02/2021 22:13;2017;ELEMENTOS DE MAQUINAS II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;2
FEM;04/02/2021 10:38;2017;ELEMENTOS DE MAQUINAS II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;2;2;4;4;4;4;4
FEM;04/02/2021 17:46;2017;ELEMENTOS DE MAQUINAS II;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4
FEM;07/02/2021 21:51;2017;ELEMENTOS DE MAQUINAS II;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;2;3;4;4;4;4
FECOMP;05/03/2021 19:18;2018;ELETRONICA ANALOGICA;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;3;3;3;4;3;4;2
FECOMP;07/03/2021 09:58;2018;ELETRONICA ANALOGICA;4;4;4;4;4;4;4;2;3;2;2;3;2;4;4;4;2;3;4;3;3;4;3;3;3;4;3;1
FECOMP;05/03/2021 12:22;2020;ELETRONICA DIGITAL;3;2;1;4;3;4;4;1;1;1;2;2;2;3;3;1;3;3;3;2;1;3;2;3;2;2;3;2
FECOMP;05/03/2021 13:20;2020;ELETRONICA DIGITAL;1;2;1;2;4;3;2;1;1;1;2;1;1;3;3;2;2;1;2;1;3;3;4;4;3;4;4;1
FECOMP;05/03/2021 19:29;2020;ELETRONICA DIGITAL;1;1;2;4;4;2;2;2;2;1;4;3;2;4;4;4;1;3;3;3;4;4;3;2;2;3;2;1
FECOMP;05/03/2021 23:35;2020;ELETRONICA DIGITAL;2;3;2;4;4;4;4;1;1;1;2;2;2;2;2;2;2;3;4;4;2;4;3;4;4;4;4;2
FECOMP;09/03/2021 17:31;2020;ELETRONICA DIGITAL;1;2;1;2;3;4;4;1;1;1;1;1;2;2;2;2;1;1;1;3;2;2;4;4;4;4;3;2
FECOMP;10/03/2021 09:37;2020;ELETRONICA DIGITAL;1;1;1;2;4;1;3;1;1;1;1;1;1;2;1;1;1;1;1;1;3;3;2;3;3;4;4;1
